tradedate,ticker,open,close,high,low,volume,openinterest
2019-10-22,600519,1195.445468125522,1188.1388404765376,1198.997301010445,1181.1265075523038,1930943.0,0
2019-10-23,600519,1185.2973741685992,1176.0727567617562,1195.445468125522,1173.2312904538176,2308021.0,0
2019-10-24,600519,1182.2022055117377,1167.3048035829747,1183.2677553772144,1164.1487463623716,2617844.0,0
2019-10-25,600519,1170.3796760519224,1188.696985644168,1189.8640164492144,1159.9575835581625,2599845.0,0
2019-10-28,600519,1183.2779034711714,1195.7397628502729,1198.5000444065558,1182.2529459815223,2248599.0,0
2019-10-29,600519,1198.6015253461248,1210.6676090609064,1217.7306824549248,1195.212061964513,2780371.0,0
2019-10-30,600519,1207.6231808738296,1201.3313626205372,1210.3631662421988,1193.4158493341374,2125475.0,0
2019-10-31,600519,1213.7120372479833,1197.4852350108633,1215.7416560393679,1193.5680707434913,2590927.0,0
2019-11-01,600519,1198.489896312599,1202.549133895368,1209.6020591954295,1189.8640164492144,2281196.0,0
2019-11-04,600519,1207.6231808738296,1217.3552029785185,1227.9092206937185,1206.608371478137,2673798.0,0
2019-11-05,600519,1217.2638701329063,1216.7564654350601,1222.8453218092138,1209.6527996652142,2225472.0,0
2019-11-06,600519,1214.7268466436753,1210.6676090609064,1221.8305124135215,1206.4865943506543,1973751.0,0
2019-11-07,600519,1214.2295900397864,1219.1615637028508,1219.6791164946542,1206.608371478137,1616788.0,0
2019-11-08,600519,1222.8453218092138,1222.8453218092138,1233.6530418733369,1219.3036370182479,2451211.0,0
2019-11-11,600519,1219.293488924291,1216.7564654350601,1224.0630930840448,1211.1851618527096,1734246.0,0
2019-11-12,600519,1221.8305124135215,1219.39496986386,1227.5134450293986,1215.954766012463,1915055.0,0
2019-11-13,600519,1224.8749406005984,1242.1267003273674,1245.9829760309983,1217.7712748307526,3197704.0,0
2019-11-14,600519,1245.1711285144445,1248.2155567015213,1258.3636506584442,1240.097081535983,2352112.0,0
2019-11-15,600519,1248.2155567015213,1243.0400287834907,1251.168652042986,1239.5896768381367,1634072.0,0
2019-11-18,600519,1243.2632868505427,1245.4552751452384,1247.6574115338906,1236.0378439532137,1803766.0,0
2019-11-19,600519,1246.1859379101368,1250.5699144995272,1259.9974937855088,1243.1618059109735,2062375.0,0
2019-11-20,600519,1248.2155567015213,1252.0210919353674,1257.866394054555,1246.2468264738782,1528053.0,0
2019-11-21,600519,1249.2303660972136,1249.534808915921,1253.8071564717857,1239.1431607040322,1918739.0,0
2019-11-22,600519,1241.1118909316751,1211.6824184565985,1247.2007473058288,1202.549133895368,4705428.0,0
2019-11-25,600519,1205.6443025522294,1199.5655942720325,1211.6824184565985,1189.41750031511,3828175.0,0
2019-11-26,600519,1204.2540136801313,1202.549133895368,1216.3505416767832,1200.5195151039834,4023961.0,0
2019-11-27,600519,1210.464647181768,1207.572440404045,1214.3412190733122,1202.0518772914788,1984881.0,0
